Start Position,End Position
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[16]
8,[]
9,[6]
10,[]
11,"[5, 21]"
12,[9]
13,"[8, 5]"
14,"[21, 8, 8, 14, 10, 5]"
15,"[17, 17, 9, 7, 9]"
16,"[4, 7]"
17,"[15, 19, 8, 18, 15, 18, 20]"
18,"[13, 10]"
19,"[11, 11]"
20,"[18, 12, 9]"
