Start Position,End Position
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,[]
15,[]
16,[]
17,[]
18,[]
19,[9]
20,"[12, 17, 15]"
21,[6]
22,"[14, 18, 15, 16, 12, 13, 19, 13, 17]"
