Start Position,End Position
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,[15]
15,[14]
16,[]
17,[]
18,"[20, 17, 18]"
19,"[17, 20]"
20,"[20, 17, 13, 15, 14, 21, 17]"
21,"[17, 17, 21]"
22,"[14, 17]"
