Start Position,End Position
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[6]
8,"[10, 9]"
9,"[6, 13]"
10,[]
11,"[8, 14]"
12,"[9, 15, 19, 13]"
13,"[11, 11]"
14,"[7, 12, 14]"
15,"[17, 15, 17, 15, 7]"
16,"[13, 8]"
17,"[19, 11, 10, 12, 12]"
18,"[12, 11, 18, 12, 11, 13]"
19,"[11, 14]"
20,"[13, 17, 13, 11, 14, 14]"
