Start Position,End Position
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,[]
15,[]
16,[]
17,[]
18,[]
19,[11]
20,"[10, 12, 21, 17]"
21,"[14, 7, 10, 13, 12]"
22,"[12, 14, 17, 11, 18, 11, 16, 16, 9, 14, 12]"
