Start Position,End Position
1,[]
2,[]
3,[]
4,"[13, 12]"
5,[]
6,"[18, 14, 4, 7, 8, 11]"
7,"[3, 3, 6, 15, 2, 5, 19]"
8,"[3, 3, 18, 8, 11]"
9,"[4, 14, 7, 5, 3, 13, 21, 3, 8, 14, 9, 9, 10, 7]"
10,"[16, 15, 20, 8, 6, 5, 7, 13, 6, 7]"
11,"[16, 8, 15, 16, 13, 5, 19, 15]"
12,"[6, 7, 7, 2, 7, 19, 11, 8, 11, 10, 13, 15, 10, 11]"
13,"[9, 7, 15, 19, 5, 8, 9, 16]"
14,"[9, 17, 18, 14, 5, 13]"
15,"[5, 9, 6, 10, 12, 15]"
16,"[11, 19, 16, 10, 9, 10]"
17,"[6, 9, 16]"
18,[15]
19,"[11, 5]"
20,[11]
21,[]
22,[11]
