Start Position,End Position
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,"[9, 15]"
13,"[19, 10, 13]"
14,"[9, 18]"
15,"[21, 7, 13]"
16,"[12, 21, 13]"
17,"[16, 19, 16, 15, 16, 14]"
18,"[18, 14, 19, 16, 13]"
19,"[15, 14, 11]"
20,"[17, 13, 21, 18, 16, 14, 13]"
21,"[15, 17, 15, 14, 21]"
