Start Position,End Position
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[20]
13,[]
14,[14]
15,"[16, 11]"
16,"[19, 9, 19, 18]"
17,"[14, 11, 20]"
18,"[20, 19, 13, 15, 12]"
19,"[7, 12]"
20,"[8, 19, 13, 19, 13, 11]"
21,"[11, 19, 9]"
22,[17]
